City,Code,Type,Line,Station
5880,3030,公交,100/200,
5880,3031,公交,101/201/桂01/G1,
5880,3032,公交,102/202/桂02,
5880,3033,公交,103/203/桂03/G3,
5880,3034,公交,桂04,
5880,3035,公交,105/205/桂05/G5,
5880,3036,公交,106/206/桂06/G6,
5880,3037,公交,207/桂07/G7,
5880,3038,公交,108/208/桂08/G08,
5880,3039,公交,109/209/桂09/G9,
5880,3130,公交,110/210/桂10/G10,
5880,3131,公交,111/211/桂11/G11,
5880,3132,公交,212/桂12/G12,
5880,3133,公交,113/桂13/G13,
5880,3134,公交,桂14/G14,
5880,3135,公交,115/桂15/G15,
5880,3136,公交,116/桂16/G16,
5880,3137,公交,117/桂17/G17,
5880,3138,公交,118/桂18/G18,
5880,3139,公交,119/桂19,
5880,3230,公交,120,
5880,3231,公交,121/桂21,
5880,3232,公交,122/222/桂22,
5880,3233,公交,123/223/桂23,
5880,3234,公交,124,
5880,3235,公交,125/225,
5880,3236,公交,126/226,
5880,3237,公交,127/227/桂27,
5880,3238,公交,128/桂28,
5880,3239,公交,129,
5880,3330,公交,130,
5880,3331,公交,131/桂31,
5880,3332,公交,132/232/桂32,
5880,3333,公交,133/233,
5880,3334,公交,134,
5880,3335,公交,135,
5880,3336,公交,236,
5880,3337,公交,137/237,
5880,3338,公交,138/238,
5880,3339,公交,139,
5880,3430,公交,140,
5880,3431,公交,241,
5880,3432,公交,142,
5880,3433,公交,143,
5880,3434,公交,144/244,
5880,3435,公交,145/245,
5880,3436,公交,146,
5880,3438,公交,148/248,
5880,3439,公交,149/249,
5880,3530,公交,150/250,
5880,3531,公交,151/251,
5880,3532,公交,152/252,
5880,3533,公交,153/禅文旅01,
5880,3534,公交,154/禅文旅02,
5880,3535,公交,155/255,
5880,3536,公交,156,
5880,3537,公交,157,
5880,3538,公交,158,
5880,3539,公交,259,
5880,3630,公交,160,
5880,3631,公交,261,
5880,3632,公交,162/162B,
5880,3633,公交,163/263,
5880,3635,公交,165,
5880,3730,公交,270,
5880,3731,公交,171/271,
5880,3732,公交,172/272,
5880,3733,公交,173,
5880,3735,公交,275,
5880,3736,公交,176/276,
5880,3737,公交,177/277,
5880,3738,公交,278,
5880,3739,公交,179/279,
5880,3830,公交,280,
5880,3831,公交,181,
5880,3832,公交,182,
5880,3833,公交,183,
5880,3834,公交,184,
5880,3835,公交,185,
5880,3836,公交,186/286,
5880,3932,公交,192,
5880,3933,公交,193,
5880,3935,公交,195,
5810,9302,公交,沥02,
5810,9303,公交,沥03,
5810,9304,公交,沥04,
5810,9305,公交,沥05,
5810,9306,公交,沥06,
5810,9307,公交,沥07,
5810,9308,公交,沥08,
5810,9309,公交,沥09,
5810,9310,公交,沥10,
5810,9311,公交,沥11,
5810,9312,公交,沥12,
5810,9313,公交,沥13,
5810,9314,公交,沥14,
5810,9315,公交,沥15,
5810,9317,公交,沥17,
5810,9318,公交,沥18,
5810,9319,公交,沥19,
5810,9320,公交,沥20,
