City,Code,Type,Line,Station
5880,42,地铁,2号线,
5880,420001,地铁,2号线,南庄
5880,420002,地铁,2号线,湖涌
5880,420003,地铁,2号线,绿岛湖
5880,420004,地铁,2号线,智慧新城
5880,420005,地铁,2号线,张槎
5880,420006,地铁,2号线,石湾
5880,420007,地铁,2号线,沙岗
5880,420008,地铁,2号线,魁奇路
5880,420009,地铁,2号线,石梁
5880,420010,地铁,2号线,湾华
5880,420011,地铁,2号线,登洲
5880,420012,地铁,2号线,花卉世界
5880,420013,地铁,2号线,仙涌
5880,420014,地铁,2号线,石洲
5880,420015,地铁,2号线,林岳西
5880,420016,地铁,2号线,林岳东
5880,420017,地铁,2号线,广州南站
5880,61,有轨电车,南海有轨电车1号线,
5880,610001,有轨电车,南海有轨电车1号线,𧒽岗
5880,610002,有轨电车,南海有轨电车1号线,华翠路
5880,610003,有轨电车,南海有轨电车1号线,夏西
5880,610004,有轨电车,南海有轨电车1号线,夏东
5880,610005,有轨电车,南海有轨电车1号线,康怡公园
5880,610006,有轨电车,南海有轨电车1号线,平西
5880,610007,有轨电车,南海有轨电车1号线,平南
5880,610008,有轨电车,南海有轨电车1号线,玉器街
5880,610009,有轨电车,南海有轨电车1号线,中区
5880,610010,有轨电车,南海有轨电车1号线,三山新城北
5880,610011,有轨电车,南海有轨电车1号线,文翰湖公园
5880,610012,有轨电车,南海有轨电车1号线,三山新城南
5880,610013,有轨电车,南海有轨电车1号线,林岳北
5880,610014,有轨电车,南海有轨电车1号线,林岳西
5880,610015,有轨电车,南海有轨电车1号线,林岳东
5880,43,地铁,3号线,
5880,430001,地铁,3号线,顺德港
5880,430002,地铁,3号线,顺德学院站
5880,430003,地铁,3号线,顺德欢乐海岸
5880,430004,地铁,3号线,顺德一中
5880,430005,地铁,3号线,驹荣北路
5880,430006,地铁,3号线,东乐路
5880,430007,地铁,3号线,大良钟楼
5880,430008,地铁,3号线,环市北
5880,430009,地铁,3号线,顺德人民医院
5880,430010,地铁,3号线,荔村
5880,430011,地铁,3号线,伦教
5880,430012,地铁,3号线,广教
5880,430013,地铁,3号线,北滘公园
5880,430014,地铁,3号线,高村
5880,430015,地铁,3号线,北滘西站
5880,430016,地铁,3号线,潭洲会展
5880,430017,地铁,3号线,岳步
5880,430018,地铁,3号线,大墩
5880,430019,地铁,3号线,东平
5880,430020,地铁,3号线,湾华
5880,430021,地铁,3号线,亚艺公园
5880,430022,地铁,3号线,季华六路
5880,430023,地铁,3号线,镇安
5880,430024,地铁,3号线,桂城
5880,430025,地铁,3号线,西约
5880,430026,地铁,3号线,叠滘
5880,430027,地铁,3号线,中山公园
5880,430028,地铁,3号线,敦厚
5880,430029,地铁,3号线,佛山
5880,430030,地铁,3号线,联和
5880,430031,地铁,3号线,孝德东
5880,430032,地铁,3号线,罗村
5880,430033,地铁,3号线,佛山西站
5880,430034,地铁,3号线,兴业东路
5880,430035,地铁,3号线,科盛路
5880,430036,地铁,3号线,博爱中路
5880,430037,地铁,3号线,南海大学城
5880,430038,地铁,3号线,佛山大学
