Prefix,Code,Type,Line,Station
0100,00163423,地铁,3号线,天河客运站
0100,00163424,地铁,3号线,天河客运站
0100,00163425,地铁,3号线,天河客运站
0100,00163426,地铁,3号线,天河客运站
0100,00163427,地铁,3号线,珠江新城
0100,00163429,地铁,3号线,天河客运站
0100,00163430,地铁,3号线,天河客运站
0100,00163431,地铁,3号线,五山
0100,00163432,地铁,3号线,五山
0100,00163433,地铁,3号线,五山
0100,00163434,地铁,3号线,五山
0100,00163435,地铁,3号线,五山
0100,00163436,地铁,3号线,五山
0100,00163437,地铁,3号线,五山
0100,00163438,地铁,3号线,五山
0100,00163439,地铁,7号线,深井
0100,00163440,地铁,3号线,五山
0100,00163441,地铁,3号线,五山
0100,00163442,地铁,3号线,五山
0100,00163443,地铁,3号线,五山
0100,00163444,地铁,3号线,五山
0100,00163445,地铁,3号线,五山
0100,00163446,地铁,3号线,五山
0100,00163447,地铁,3号线,永泰
0100,00163448,地铁,3号线,永泰
0100,00163449,地铁,3号线,永泰
0100,00163450,地铁,3号线,永泰
0100,00163451,地铁,3号线,永泰
0100,00163452,地铁,3号线,永泰
0100,00163453,地铁,3号线,永泰
0100,00163454,地铁,3号线,永泰
0100,00163455,地铁,3号线,番禺广场
0100,00163456,地铁,3号线,番禺广场
0100,00163457,地铁,3号线,番禺广场
0100,00163458,地铁,3号线,番禺广场
0100,00163459,地铁,3号线,番禺广场
0100,00163460,地铁,3号线,番禺广场
0100,00163461,地铁,3号线,番禺广场
0100,00163462,地铁,3号线,番禺广场
0100,00163463,地铁,3号线,汉溪长隆
0100,00163464,地铁,3号线,汉溪长隆
0100,00163465,地铁,3号线,汉溪长隆
0100,00163466,地铁,3号线,汉溪长隆
0100,00163467,地铁,3号线,汉溪长隆
0100,00163468,地铁,3号线,汉溪长隆
0100,00163469,地铁,3号线,汉溪长隆
0100,00163470,地铁,3号线,汉溪长隆
0100,00163471,地铁,3号线,汉溪长隆
0100,00163472,地铁,3号线,汉溪长隆
0100,00163473,地铁,3号线,汉溪长隆
0100,00163474,地铁,3号线,汉溪长隆
0100,00163475,地铁,3号线,市桥
0100,00163476,地铁,3号线,市桥
0100,00163477,地铁,3号线,市桥
0100,00163478,地铁,3号线,市桥
0100,00163479,地铁,3号线,市桥
0100,00163480,地铁,3号线,市桥
0100,00163481,地铁,3号线,市桥
0100,00163482,地铁,3号线,市桥
0100,00163483,地铁,3号线,市桥
0100,00163484,地铁,3号线,市桥
0100,00163485,地铁,3号线,市桥
0100,00163486,地铁,3号线,市桥
0100,00163487,地铁,3号线,大石
0100,00163488,地铁,3号线,大石
0100,00163489,地铁,3号线,大石
0100,00163490,地铁,3号线,大石
0100,00163491,地铁,3号线,大石
0100,00163492,地铁,3号线,大石
0100,00163493,地铁,3号线,大石
0100,00163494,地铁,3号线,大石
0100,00163495,地铁,3号线,大石
0100,00163496,地铁,3号线,大石
0100,00163497,地铁,3号线,大石
0100,00163498,地铁,3号线,大石
0100,00163499,地铁,3号线,厦滘
0100,00163500,地铁,3号线,厦滘
0100,00163501,地铁,3号线,厦滘
0100,00163502,地铁,3号线,厦滘
0100,00163503,地铁,3号线,厦滘
0100,00163504,地铁,3号线,厦滘
0100,00163505,地铁,3号线,厦滘
0100,00163506,地铁,3号线,厦滘
0100,00163507,地铁,3号线,厦滘
0100,00163508,地铁,3号线,厦滘
0100,00163509,地铁,3号线,厦滘
0100,00163510,地铁,3号线,厦滘
0100,00163511,地铁,3号线,沥滘
0100,00163512,地铁,3号线,沥滘
0100,00163513,地铁,3号线,沥滘
0100,00163514,地铁,3号线,沥滘
0100,00163515,地铁,3号线,沥滘
0100,00163516,地铁,3号线,沥滘
0100,00163517,地铁,3号线,沥滘
0100,00163518,地铁,3号线,沥滘
0100,00163519,地铁,3号线,大塘
0100,00163520,地铁,3号线,大塘
0100,00163521,地铁,3号线,大塘
0100,00163522,地铁,3号线,大塘
0100,00163523,地铁,3号线,大塘
0100,00163524,地铁,3号线,大塘
0100,00163525,地铁,3号线,大塘
0100,00163526,地铁,3号线,大塘
0100,00163527,地铁,3号线,大塘
0100,00163528,地铁,3号线,大塘
0100,00163529,地铁,3号线,大塘
0100,00163530,地铁,3号线,大塘
0100,00163531,地铁,3号线,大塘
0100,00163532,地铁,3号线,大塘
0100,00163533,地铁,3号线,大塘
0100,00163534,地铁,3号线,大塘
0100,00163535,地铁,3号线,广州塔
0100,00163536,地铁,7号线,广州南站
0100,00163537,地铁,3号线,广州塔
0100,00163538,地铁,7号线,广州南站
0100,00163539,地铁,3号线,广州塔
0100,00163540,地铁,7号线,石壁
0100,00163541,地铁,3号线,广州塔
0100,00163542,地铁,7号线,石壁
0100,00163543,地铁,3号线,广州塔
0100,00163544,地铁,7号线,谢村
0100,00163545,地铁,3号线,广州塔
0100,00163546,地铁,7号线,谢村
0100,00163547,地铁,3号线,广州塔
0100,00163548,地铁,7号线,钟村
0100,00163549,地铁,3号线,广州塔
0100,00163550,地铁,7号线,钟村
0100,00163551,地铁,3号线,广州塔
0100,00163552,地铁,7号线,汉溪长隆
0100,00163553,地铁,3号线,广州塔
0100,00163554,地铁,7号线,汉溪长隆
0100,00163555,地铁,3号线,广州塔
0100,00163556,地铁,7号线,南村万博
0100,00163557,地铁,3号线,广州塔
0100,00163558,地铁,7号线,南村万博
0100,00163559,地铁,7号线,员岗
0100,00163560,地铁,7号线,员岗
0100,00163561,地铁,3号线,广州塔
0100,00163562,地铁,3号线,广州塔
0100,00163563,地铁,3号线,广州塔
0100,00163564,地铁,7号线,板桥
0100,00163565,地铁,3号线,广州塔
0100,00163566,地铁,7号线,板桥
0100,00163567,地铁,3号线,广州塔
0100,00163568,地铁,7号线,大学城南
0100,00163569,地铁,3号线,广州塔
0100,00163570,地铁,7号线,大学城南
0100,00163571,地铁,3号线,广州塔
0100,00163572,地铁,3号线,广州塔
0100,00163573,地铁,3号线,广州塔
0100,00163574,地铁,3号线,广州塔
0100,00163575,地铁,3号线,珠江新城
0100,00163576,地铁,3号线,珠江新城
0100,00163577,地铁,3号线,珠江新城
0100,00163578,地铁,3号线,珠江新城
0100,00163579,地铁,3号线,珠江新城
