Prefix,Code,Type,Line,Station
7835,0101,公交,1/101/201/401/501/601/801,
7835,0201,公交,2/202/402/502,
7835,0301,公交,3/303/403/503/603/803,
7835,0401,公交,4/204/404/504,
7835,0501,公交,5/405/605/705/805,
7835,0601,公交,306/406/706,
7835,0701,公交,7/207/307/407,
7835,0801,公交,8/308/408,
7835,0901,公交,9,
7835,1001,公交,10A/410/510/710,
7835,1101,公交,11/411,
7835,1201,公交,12/812,
7835,1301,公交,13/413,
7835,1401,公交,14,
7835,1501,公交,15/715,
7835,1601,公交,16/416,
7835,1701,公交,17,
7835,1801,公交,18,
7835,1901,公交,19,
7835,2001,公交,20/520/520A,
7835,2101,公交,21,
7835,2201,公交,22,
7835,2301,公交,23,
7835,2501,公交,25/525,
7835,2601,公交,26/826-2/826-6,
7835,3001,公交,30/530,
7835,3101,公交,31/931,
7835,3201,公交,32,
7835,3301,公交,33,
7835,3401,公交,34,
7835,3501,公交,35,
7835,3601,公交,36,
7835,4001,公交,540,
7835,4101,公交,41/541,
7835,4201,公交,42,
7835,4301,公交,43,
7835,4501,公交,45,
7835,4601,公交,46,
7835,5501,公交,55,
7835,5601,公交,56,
7835,6001,公交,60,
7835,6101,公交,61,
7835,6201,公交,62,
7835,6601,公交,66,
7835,6701,公交,67,
7835,6801,公交,68,
7835,6901,公交,69,
7835,7001,公交,70,
7835,7101,公交,71,
7835,7201,公交,72A,
7835,7301,公交,73,
7835,8001,公交,80,
7835,8201,公交,82,
7835,8501,公交,85,
7835,8601,公交,86,
7835,8701,公交,87,
7835,8801,公交,88,
7835,9001,公交,90,
7835,9201,公交,992,
7835,9901,公交,99,
7835,9301,公交,3A,
7835,0102,公交,Z101,
7835,0202,公交,Z102,
7835,0302,公交,Z103,
7835,0402,公交,Z104,
7835,0502,公交,Z105,
7835,0602,公交,Z106,
7835,0702,公交,Z107,
7835,0802,公交,Z108,
7835,1102,公交,Z11,
7835,1202,公交,Z12,
7835,1302,公交,Z13,
7835,1502,公交,Z15/Z115,
7835,1602,公交,Z16/Z116,
7835,1702,公交,Z17/Z117,
7835,1802,公交,Z18/Z118,
7835,1902,公交,Z19,
7835,2102,公交,Z121,
7835,2302,公交,Z123,
7835,2502,公交,Z125,
7835,2602,公交,Z126,
7835,2702,公交,Z127,
7835,2802,公交,Z128,
7835,2902,公交,Z129,
7835,3002,公交,Z30/Z130,
7835,3202,公交,Z132,
7835,4002,公交,Z40/Z140,
7835,4102,公交,Z141,
7835,4202,公交,Z142,
7835,4302,公交,Z143,
7835,4502,公交,Z145,
7835,4602,公交,Z146,
7835,4702,公交,Z147,
7835,4902,公交,Z149,
7835,5002,公交,Z50,
7835,5102,公交,Z51/Z151,
7835,5202,公交,Z52/Z152,
7835,5302,公交,Z53/Z153,
7835,5502,公交,Z55,
7835,5602,公交,Z56,
7835,5802,公交,Z58,
7835,5902,公交,Z59,
7835,6102,公交,Z261,
7835,6202,公交,Z262,
7835,6302,公交,Z263,
7835,6402,公交,Z264,
7835,6502,公交,Z265,
7835,6602,公交,Z266,
7835,6702,公交,Z267,
7835,6802,公交,Z268,
7835,7002,公交,Z270,
7835,7102,公交,Z71/Z271,
7835,7202,公交,Z72/Z272,
7835,7302,公交,Z273,
7835,7502,公交,Z75,
7835,7602,公交,Z76,
7835,7702,公交,Z77,
7835,7802,公交,Z278,
7835,7902,公交,Z79/Z279,
7835,8002,公交,Z280,
7835,8102,公交,Z281,
7835,8202,公交,Z82/Z282,
7835,8302,公交,Z283,
7835,8702,公交,Z287,
7835,8802,公交,Z288,
7835,8902,公交,Z289,
7835,9902,公交,Z299,
7835,0B03,公交,B10/B20,
7835,1B03,公交,B1,
7835,2B03,公交,B2,
7835,3B03,公交,B3,
7835,4B03,公交,B4,
7835,0503,公交,B5,
7835,6B03,公交,B6,
7835,7B03,公交,B7/B37,
7835,8B03,公交,B8/B38,
7835,9B03,公交,B9,
7835,0F01,公交,K10/K30,
7835,1F01,公交,K1/K11,
7835,2F01,公交,K2,
7835,3F01,公交,K3,
7835,4F01,公交,K4,
7835,5F01,公交,K5,
7835,6F01,公交,K6,
7835,7F01,公交,K7,
7835,8F01,公交,K8,
7835,9F01,公交,K9,
7835,1E06,公交,D1,
7835,2E06,公交,D2,
7835,3E06,公交,D3,
0755,001,公交,1,
0755,002,公交,2,
0755,003,公交,3,
0755,004,公交,4,
0755,005,公交,5,
0755,007,公交,7,
0755,008,公交,8,
0755,009,公交,9,
0755,910,公交,10A,
0755,011,公交,11,
0755,012,公交,12,
0755,013,公交,13,
0755,014,公交,14,
0755,015,公交,15,
0755,016,公交,16,
0755,017,公交,17,
0755,018,公交,18,
0755,019,公交,19,
0755,020,公交,20,
0755,021,公交,21,
0755,022,公交,22,
0755,023,公交,23,
0755,025,公交,25,
0755,026,公交,26,
0755,030,公交,30,
0755,031,公交,31,
0755,032,公交,32,
0755,033,公交,33,
0755,034,公交,34,
0755,035,公交,35,
0755,036,公交,36,
0755,041,公交,41,
0755,042,公交,42,
0755,043,公交,43,
0755,045,公交,45,
0755,046,公交,46,
0755,055,公交,55,
0755,056,公交,56,
0755,060,公交,60,
0755,061,公交,61,
0755,062,公交,62,
0755,066,公交,66,
0755,067,公交,67,
0755,068,公交,68,
0755,069,公交,69,
0755,070,公交,70,
0755,071,公交,71,
0755,073,公交,73,
0755,085,公交,85,
0755,080,公交,80,
0755,082,公交,82,
0755,086,公交,86,
0755,087,公交,87,
0755,088,公交,88,
0755,090,公交,90,
0755,099,公交,99,
0755,101,公交,101,
0755,201,公交,201,
0755,202,公交,202,
0755,204,公交,204,
0755,207,公交,207,
0755,601,公交,601,
0755,603,公交,603,
0755,605,公交,605,
0755,303,公交,303,
0755,306,公交,306,
0755,307,公交,307,
0755,308,公交,308,
0755,401,公交,401,
0755,402,公交,402,
0755,403,公交,403,
0755,404,公交,404,
0755,405,公交,405,
0755,406,公交,406,
0755,407,公交,407,
0755,408,公交,408,
0755,410,公交,410,
0755,411,公交,411,
0755,413,公交,413,
0755,416,公交,416,
0755,501,公交,501,
0755,502,公交,502,
0755,503,公交,503,
0755,504,公交,504,
0755,510,公交,510,
0755,520,公交,520,
0755,525,公交,525,
0755,530,公交,530,
0755,540,公交,540,
0755,541,公交,541,
0755,705,公交,705,
0755,706,公交,706,
0755,710,公交,710,
0755,715,公交,715,
0755,801,公交,801,
0755,803,公交,803,
0755,805,公交,805,
0755,812,公交,812,
0755,01B,公交,B1,
0755,82B,公交,B2,
0755,03B,公交,B3,
0755,04B,公交,B4,
0755,05B,公交,B5,
0755,06B,公交,B6,
0755,07B,公交,B7,
0755,08B,公交,B8,
0755,09B,公交,B9,
0755,10B,公交,B10,
0755,20B,公交,B20,
0755,37B,公交,B37,
0755,38B,公交,B38,
