City,Code,Type,Line,Station
3060,0001,地铁,1号线,
3060,00010015,地铁,1号线,平潮
3060,00010016,地铁,1号线,南通西站
3060,00010017,地铁,1号线,集成村
3060,00010018,地铁,1号线,河口
3060,00010019,地铁,1号线,唐闸公园
3060,0001001A,地铁,1号线,普贤路
3060,0001001B,地铁,1号线,十里坊
3060,0001001C,地铁,1号线,城港路
3060,0001001D,地铁,1号线,曙光
3060,0001001E,地铁,1号线,茶庵殿
3060,0001001F,地铁,1号线,孩儿巷
3060,00010020,地铁,1号线,和平桥
3060,00010021,地铁,1号线,友谊桥
3060,00010022,地铁,1号线,学田
3060,00010023,地铁,1号线,文峰
3060,00010024,地铁,1号线,慈善博物馆
3060,00010025,地铁,1号线,政务中心
3060,00010026,地铁,1号线,世纪大道
3060,00010027,地铁,1号线,图书馆
3060,00010028,地铁,1号线,南通大学
3060,00010029,地铁,1号线,盘香路
3060,0001002A,地铁,1号线,崇州大道
3060,0001002B,地铁,1号线,静海大道
3060,0001002C,地铁,1号线,大剧院
3060,0001002D,地铁,1号线,紫琅湖
3060,0001002E,地铁,1号线,能达商务区
3060,0001002F,地铁,1号线,航运学院
3060,00010030,地铁,1号线,振兴路
