City,Code,Type,Line,Station
3050,0001,地铁,1号线,
3050,00010040,地铁,1号线,木渎
3050,00010041,地铁,1号线,金枫路
3050,00010042,地铁,1号线,汾湖路
3050,00010043,地铁,1号线,玉山路
3050,00010044,地铁,1号线,狮子山
3050,00010045,地铁,1号线,塔园路
3050,00010046,地铁,1号线,滨河路
3050,00010047,地铁,1号线,西环路
3050,00010048,地铁,1号线,桐泾北路
3050,00010049,地铁,1号线,广济南路
3050,00010050,地铁,1号线,养育巷
3050,00010051,地铁,1号线,乐桥
3050,00010052,地铁,1号线,临顿路
3050,00010053,地铁,1号线,相门
3050,00010054,地铁,1号线,东环路
3050,00010055,地铁,1号线,中央公园
3050,00010056,地铁,1号线,星海广场
3050,00010057,地铁,1号线,东方之门
3050,00010058,地铁,1号线,文化博览中心
3050,00010059,地铁,1号线,时代广场
3050,00010060,地铁,1号线,星湖街
3050,00010061,地铁,1号线,南施街
3050,00010062,地铁,1号线,星塘街
3050,00010063,地铁,1号线,钟南街
3050,0002,地铁,2号线,
3050,00020038,地铁,2号线,骑河
3050,00020039,地铁,2号线,富翔路
3050,00020040,地铁,2号线,高铁苏州北站
3050,00020041,地铁,2号线,大湾
3050,00020042,地铁,2号线,富元路
3050,00020043,地铁,2号线,蠡口
3050,00020044,地铁,2号线,徐图港
3050,00020045,地铁,2号线,阳澄湖中路
3050,00020046,地铁,2号线,陆慕
3050,00020047,地铁,2号线,平泷路东
3050,00020048,地铁,2号线,平河路
3050,00020049,地铁,2号线,苏州火车站
3050,00020050,地铁,2号线,山塘街
3050,00020051,地铁,2号线,石路
3050,00020052,地铁,2号线,广济南路
3050,00020053,地铁,2号线,三香广场
3050,00020054,地铁,2号线,劳动路
3050,00020055,地铁,2号线,胥江路
3050,00020056,地铁,2号线,桐泾公园
3050,00020057,地铁,2号线,友联
3050,00020058,地铁,2号线,盘蠡路
3050,00020059,地铁,2号线,新家桥
3050,00020060,地铁,2号线,石湖东路
3050,00020061,地铁,2号线,宝带桥南
3050,00020062,地铁,2号线,尹中路
3050,00020063,地铁,2号线,郭巷
3050,00020064,地铁,2号线,郭苑路
3050,00020065,地铁,2号线,尹山湖
3050,00020066,地铁,2号线,独墅湖南
3050,00020067,地铁,2号线,独墅湖邻里中心
3050,00020068,地铁,2号线,月亮湾
3050,00020069,地铁,2号线,松涛街
3050,00020070,地铁,2号线,金谷路
3050,00020071,地铁,2号线,金尚路
3050,00020072,地铁,2号线,桑田岛
3050,0003,地铁,3号线,
3050,00030040,地铁,3号线,苏州新区火车站
3050,00030041,地铁,3号线,惠昌路
3050,00030042,地铁,3号线,文昌路
3050,00030043,地铁,3号线,长亭
3050,00030044,地铁,3号线,铜墩
3050,00030045,地铁,3号线,马运路
3050,00030046,地铁,3号线,西津桥
3050,00030047,地铁,3号线,何山
3050,00030048,地铁,3号线,狮子山
3050,00030049,地铁,3号线,狮山路
3050,00030050,地铁,3号线,沙金桥
3050,00030051,地铁,3号线,索山桥西
3050,00030052,地铁,3号线,横山
3050,00030053,地铁,3号线,横塘
3050,00030054,地铁,3号线,石湖北
3050,00030055,地铁,3号线,新郭
3050,00030056,地铁,3号线,盘蠡路
3050,00030057,地铁,3号线,宝带路
3050,00030058,地铁,3号线,迎春路
3050,00030059,地铁,3号线,北港路
3050,00030060,地铁,3号线,通园路南
3050,00030061,地铁,3号线,墅浦路北
3050,00030062,地铁,3号线,东振路
3050,00030063,地铁,3号线,金厍桥
3050,00030064,地铁,3号线,李公堤西
3050,00030065,地铁,3号线,东方之门
3050,00030066,地铁,3号线,烟雨桥
3050,00030067,地铁,3号线,倪浜
3050,00030068,地铁,3号线,唐庄
3050,00030069,地铁,3号线,跨塘
3050,00030070,地铁,3号线,苏州园区火车站
3050,00030071,地铁,3号线,方湾街
3050,00030072,地铁,3号线,丰和路
3050,00030073,地铁,3号线,双马街
3050,00030074,地铁,3号线,葑亭大道
3050,00030075,地铁,3号线,戈巷街
3050,00030076,地铁,3号线,唯亭
3050,0004,地铁,4号线,
3050,00040040,地铁,4号线,龙道浜
3050,00040041,地铁,4号线,张庄
3050,00040042,地铁,4号线,姚祥
3050,00040043,地铁,4号线,活力岛
3050,00040044,地铁,4号线,孙武纪念园
3050,00040045,地铁,4号线,平泷路西
3050,00040046,地铁,4号线,苏锦
3050,00040047,地铁,4号线,苏州火车站
3050,00040048,地铁,4号线,北寺塔
3050,00040049,地铁,4号线,察院场
3050,00040050,地铁,4号线,乐桥
3050,00040051,地铁,4号线,三元坊
3050,00040052,地铁,4号线,南门
3050,00040053,地铁,4号线,人民桥南
3050,00040054,地铁,4号线,团结桥
3050,00040055,地铁,4号线,宝带路
3050,00040056,地铁,4号线,石湖东路
3050,00040057,地铁,4号线,红庄
3050,00040058,地铁,4号线,清树湾
3050,00040059,地铁,4号线,花港
