City,Code,Type,Line,Station
2220,1F480000,BRT,,
2220,29010000,公交,顺通空调车,开发区公交
2220,29020000,公交,中山空调车,开发区公交
2220,31020000,公交,非空调车,金州102
2220,31030000,公交,非空调车,金州103
2220,31040000,公交,非空调车,金州104
2220,31060000,公交,非空调车,金州106
2220,31110000,公交,非空调车,金州111
2220,31250000,公交,非空调车,金州116
2220,31260000,公交,非空调车,金州117
2220,32010000,公交,非空调车,金州201
2220,38010000,公交,空调车,金州101
2220,38020000,公交,空调车,金州102
2220,38030000,公交,空调车,金州103
2220,38040000,公交,空调车,金州104
2220,38050000,公交,空调车,金州105
2220,38060000,公交,空调车,金州106
2220,38070000,公交,空调车,金州107
2220,38080000,公交,空调车,金州108
2220,38260000,公交,空调车,金州117
2220,38270000,公交,空调车,金州118
2220,39010000,公交,空调车,金州201
2220,39020000,公交,非空调车,金州503
2220,39030000,公交,非空调车,金州505
2220,0001000,公交,1,
2220,0002000,公交,2,
2220,0003000,公交,3,
2220,0004000,公交,4,
2220,0005000,公交,5,
2220,0006000,公交,6,
2220,0007000,公交,7,
2220,0008000,公交,8,
2220,0009000,公交,9,
2220,000A000,公交,10,
2220,000B000,公交,11,
2220,000C000,公交,12,
2220,000D000,公交,13,
2220,000E000,公交,15,
2220,000F000,公交,16,
2220,0010000,公交,17,
2220,0011000,公交,18,
2220,0012000,公交,19,
2220,0013000,公交,20,
2220,0014000,公交,21,
2220,0015000,公交,22,
2220,0016000,公交,23,
2220,0017000,公交,24,
2220,0018000,公交,25,
2220,0019000,公交,26,
2220,001A000,公交,27,
2220,001B000,公交,28,
2220,001C000,公交,29,
2220,001D000,公交,30,
2220,001F000,公交,31,
2220,0020000,公交,32,
2220,0021000,公交,33,
2220,0022000,公交,34,
2220,0023000,公交,35,
2220,0024000,公交,36,
2220,0025000,公交,37,
2220,0026000,公交,38,
2220,0027000,公交,39,
2220,0028000,公交,40,
2220,0029000,公交,41,
2220,002A000,公交,42,
2220,002B000,公交,43,
2220,002C000,公交,45,
2220,002D000,公交,46,
2220,002E000,公交,47,
2220,002F000,公交,48,
2220,0030000,公交,49,
2220,0031000,公交,50,
2220,0032000,公交,51,
2220,0033000,公交,90,
2220,00C9000,公交,201,
2220,23F2000,公交,202,
2220,0409000,公交,2002,
