City,Code,Type,Line,Station
1121,0009,地铁,1号线,
1121,00090001,地铁,1号线,刘园
1121,00090002,地铁,1号线,瑞景新苑
1121,00090003,地铁,1号线,佳园里
1121,00090004,地铁,1号线,本溪路
1121,00090005,地铁,1号线,勤俭道
1121,00090006,地铁,1号线,洪湖里
1121,00090007,地铁,1号线,西站
1121,00090008,地铁,1号线,西北角
1121,00090009,地铁,1号线,西南角
1121,00090010,地铁,1号线,二纬路
1121,00090011,地铁,1号线,海光寺
1121,00090012,地铁,1号线,鞍山道
1121,00090013,地铁,1号线,营口道
1121,00090014,地铁,1号线,小白楼
1121,00090015,地铁,1号线,下瓦房
1121,00090016,地铁,1号线,南楼
1121,00090017,地铁,1号线,土城
1121,00090018,地铁,1号线,陈塘庄
1121,00090019,地铁,1号线,复兴门
1121,00090020,地铁,1号线,华山里
1121,00090021,地铁,1号线,财经大学
1121,00090022,地铁,1号线,双林
1121,00090023,地铁,1号线,李楼
1121,00090024,地铁,1号线,梨双路北
1121,00090025,地铁,1号线,洪泥河东
1121,00090026,地铁,1号线,高庄子
1121,00090027,地铁,1号线,上郭庄
1121,00090028,地铁,1号线,国家会展中心
1121,00090029,地铁,1号线,国瑞路
1121,00090030,地铁,1号线,东沽路
1121,00090031,地铁,1号线,咸水沽北
1121,00090032,地铁,1号线,双桥河
1121,0002,地铁,2号线,
1121,00020011,地铁,2号线,曹庄
1121,00020012,地铁,2号线,卞兴
1121,00020013,地铁,2号线,芥园西道
1121,00020014,地铁,2号线,咸阳路
1121,00020015,地铁,2号线,长虹公园
1121,00020016,地铁,2号线,广开四马路
1121,00020017,地铁,2号线,西南角
1121,00020018,地铁,2号线,鼓楼
1121,00020019,地铁,2号线,东南角
1121,00020020,地铁,2号线,建国道
1121,00020021,地铁,2号线,天津站
1121,00020022,地铁,2号线,远洋国际中心
1121,00020023,地铁,2号线,顺驰桥
1121,00020024,地铁,2号线,靖江路
1121,00020025,地铁,2号线,翠阜新村
1121,00020026,地铁,2号线,屿东城
1121,00020027,地铁,2号线,登州路
1121,00020028,地铁,2号线,国山路
1121,00020029,地铁,2号线,空港经济区
1121,00020030,地铁,2号线,滨海国际机场
1121,0003,地铁,3号线,
1121,00030008,地铁,3号线,南站
1121,00030009,地铁,3号线,杨伍庄
1121,00030010,地铁,3号线,学府工业区
1121,00030011,地铁,3号线,高新区
1121,00030012,地铁,3号线,大学城
1121,00030013,地铁,3号线,华苑
1121,00030014,地铁,3号线,王顶堤
1121,00030015,地铁,3号线,红旗南路
1121,00030016,地铁,3号线,周邓纪念馆
1121,00030017,地铁,3号线,天塔
1121,00030018,地铁,3号线,吴家窑
1121,00030019,地铁,3号线,西康路
1121,00030020,地铁,3号线,营口道
1121,00030021,地铁,3号线,和平路
1121,00030022,地铁,3号线,津湾广场
1121,00030023,地铁,3号线,天津站
1121,00030024,地铁,3号线,金狮桥
1121,00030025,地铁,3号线,中山路
1121,00030026,地铁,3号线,北站
1121,00030027,地铁,3号线,铁东路
1121,00030028,地铁,3号线,张兴庄
1121,00030029,地铁,3号线,宜兴埠
1121,00030030,地铁,3号线,天士力
1121,00030031,地铁,3号线,华北集团
1121,00030032,地铁,3号线,丰产河
1121,00030033,地铁,3号线,小淀
1121,0004,地铁,4号线,
1121,0005,地铁,5号线,
1121,00050011,地铁,5号线,北辰科技园北
1121,00050012,地铁,5号线,丹河北道
1121,00050013,地铁,5号线,北辰道
1121,00050014,地铁,5号线,职业大学
1121,00050015,地铁,5号线,淮河道
1121,00050016,地铁,5号线,辽河北道
1121,00050017,地铁,5号线,宜兴埠北
1121,00050018,地铁,5号线,张兴庄
1121,00050019,地铁,5号线,志成路
1121,00050020,地铁,5号线,思源路
1121,00050021,地铁,5号线,建昌道
1121,00050022,地铁,5号线,金钟河大街
1121,00050023,地铁,5号线,月牙河
1121,00050024,地铁,5号线,幸福公园
1121,00050025,地铁,5号线,靖江路
1121,00050026,地铁,5号线,成林道
1121,00050027,地铁,5号线,津塘路
1121,00050028,地铁,5号线,直沽
1121,00050029,地铁,5号线,下瓦房
1121,00050030,地铁,5号线,西南楼
1121,00050031,地铁,5号线,文化中心
1121,00050032,地铁,5号线,天津宾馆
1121,00050033,地铁,5号线,肿瘤医院
1121,00050034,地铁,5号线,体育中心
1121,00050035,地铁,5号线,凌宾路
1121,00050036,地铁,5号线,昌凌路
1121,00050037,地铁,5号线,中医一附院
1121,00050038,地铁,5号线,李七庄南
1121,0006,地铁,6号线,
1121,00060001,地铁,6号线,南孙庄
1121,00060002,地铁,6号线,南何庄
1121,00060003,地铁,6号线,大毕庄
1121,00060004,地铁,6号线,金钟街
1121,00060005,地铁,6号线,徐庄子
1121,00060006,地铁,6号线,金钟河大街
1121,00060007,地铁,6号线,民权门
1121,00060008,地铁,6号线,北宁公园
1121,00060009,地铁,6号线,北站
1121,00060010,地铁,6号线,新开河
1121,00060011,地铁,6号线,外院附中
1121,00060012,地铁,6号线,天泰路
1121,00060013,地铁,6号线,北运河
1121,00060014,地铁,6号线,北竹林
1121,00060015,地铁,6号线,西站
1121,00060016,地铁,6号线,复兴路
1121,00060017,地铁,6号线,人民医院
1121,00060018,地铁,6号线,长虹公园
1121,00060019,地铁,6号线,宜宾道
1121,00060020,地铁,6号线,鞍山西道
1121,00060021,地铁,6号线,天拖
1121,00060022,地铁,6号线,一中心医院
1121,00060023,地铁,6号线,红旗南路
1121,00060024,地铁,6号线,迎风道
1121,00060025,地铁,6号线,南翠屏
1121,00060026,地铁,6号线,水上公园东路
1121,00060027,地铁,6号线,肿瘤医院
1121,00060028,地铁,6号线,天津宾馆
1121,00060029,地铁,6号线,文化中心
1121,00060030,地铁,6号线,乐园道
1121,00060031,地铁,6号线,尖山路
1121,00060032,地铁,6号线,医大二院
1121,00060033,地铁,6号线,梅江道
1121,00060034,地铁,6号线,左江道
1121,00060035,地铁,6号线,梅江公园
1121,00060036,地铁,6号线,梅江会展中心
1121,00060037,地铁,6号线,解放南路
1121,00060038,地铁,6号线,洞庭路
1121,00060039,地铁,6号线,梅林路
1121,0001,轻轨,9号线,
1121,00010001,轻轨,9号线,东海路
1121,00010002,轻轨,9号线,会展中心
1121,00010003,轻轨,9号线,太湖路
1121,00010004,轻轨,9号线,市民广场
1121,00010005,轻轨,9号线,泰达
1121,00010006,轻轨,9号线,塘沽
1121,00010007,轻轨,9号线,车站北路
1121,00010008,轻轨,9号线,胡家园
1121,00010009,轻轨,9号线,中心庄
1121,00010010,轻轨,9号线,中西村
1121,00010011,轻轨,9号线,钢管公司
1121,00010012,轻轨,9号线,军粮城
1121,00010013,轻轨,9号线,小东庄
1121,00010014,轻轨,9号线,东丽开发区
1121,00010015,轻轨,9号线,新立
1121,00010016,轻轨,9号线,张贵庄
1121,00010017,轻轨,9号线,二号桥
1121,00010018,轻轨,9号线,一号桥
1121,00010019,轻轨,9号线,中山门
1121,00010020,地铁,9号线,东兴路
1121,00010021,地铁,9号线,直沽
1121,00010022,地铁,9号线,十一经路
1121,00010023,地铁,9号线,大王庄
1121,00010024,地铁,9号线,天津站
1121,00040039,地铁,4号线,东南角
1121,00040040,地铁,4号线,金街
1121,00040041,地铁,4号线,和平路
1121,00040042,地铁,4号线,徐州道
1121,00040043,地铁,4号线,六纬路
1121,00040044,地铁,4号线,成林道
1121,00040045,地铁,4号线,泰昌路
1121,00040046,地铁,4号线,万东路
1121,00040047,地铁,4号线,沙柳南路
1121,00040048,地铁,4号线,登州南路
1121,00040049,地铁,4号线,跃进北路
1121,00040050,地铁,4号线,航双路
1121,00040051,地铁,4号线,民航大学
1121,00040052,地铁,4号线,新兴村
1121,00050039,地铁,5号线,京华东道
1121,0008,地铁,8号线,
1121,00080044,地铁,8号线,渌水道
1121,00080045,地铁,8号线,双港
1121,00080046,地铁,8号线,景荷道
1121,00080047,地铁,8号线,景荔道
1121,00080048,地铁,8号线,天津大学北洋园校区
1121,00080049,地铁,8号线,海河教育园区
