City,Code,Type,Line,Station,Station-en
8810,61,地铁,1号线,,
8810,610001,地铁,1号线,三屯碑,Santunbei
8810,610002,地铁,1号线,新疆大学,Xinjiang University
8810,610003,地铁,1号线,二道桥,Erdaoqiao
8810,610004,地铁,1号线,南门,Nanmen
8810,610005,地铁,1号线,北门,Beimen
8810,610006,地铁,1号线,新兴街,Xinxing Street
8810,610007,地铁,1号线,南湖广场,Nanhu Square
8810,610008,地铁,1号线,南湖北路,Nanhu North Road
8810,610009,地铁,1号线,王家梁,Wangjialiang
8810,610010,地铁,1号线,八楼,Balou
8810,610011,地铁,1号线,新疆图书馆,Xinjiang library
8810,610012,地铁,1号线,中营工,Zhongyinggong
8810,610013,地铁,1号线,小西沟,Xiaoxigou
8810,610014,地铁,1号线,铁路局,Tieluju
8810,610015,地铁,1号线,体育中心,Sports Center
8810,610016,地铁,1号线,植物园,Botanical Garden
8810,610017,地铁,1号线,迎宾路口,Yingbin Road Crossing
8810,610018,地铁,1号线,三工,Sangong
8810,610019,地铁,1号线,宣仁墩,Xuanrendun
8810,610020,地铁,1号线,大地窝堡,Dadiwopu
8810,610021,地铁,1号线,国际机场,International Airport
