City,Code,Type,Line,Station
3310,0001,地铁,1号线,
3310,00010001,地铁,1号线,湘湖
3310,00010002,地铁,1号线,滨康路
3310,00010003,地铁,1号线,西兴
3310,00010004,地铁,1号线,滨和路
3310,00010005,地铁,1号线,江陵路
3310,00010006,地铁,1号线,近江
3310,00010007,地铁,1号线,婺江路
3310,00010008,地铁,1号线,城站
3310,00010009,地铁,1号线,定安路
3310,00010010,地铁,1号线,龙翔桥
3310,00010011,地铁,1号线,凤起路
3310,00010012,地铁,1号线,武林广场
3310,00010013,地铁,1号线,西湖文化广场
3310,00010014,地铁,1号线,打铁关
3310,00010015,地铁,1号线,闸弄口
3310,00010016,地铁,1号线,火车东站
3310,00010017,地铁,1号线,彭埠
3310,00010018,地铁,1号线,七堡
3310,00010019,地铁,1号线,九和路
3310,00010020,地铁,1号线,九堡
3310,00010021,地铁,1号线,客运中心
3310,00010022,地铁,1号线,下沙西
3310,00010023,地铁,1号线,金沙湖
3310,00010024,地铁,1号线,高沙路
3310,00010025,地铁,1号线,文泽路
3310,00010026,地铁,1号线,文海南路
3310,00010027,地铁,1号线,云水
3310,00010028,地铁,1号线,下沙江滨
3310,00010029,地铁,1号线,杭州大会展中心
3310,00010030,地铁,1号线,港城大道
3310,00010031,地铁,1号线,南阳
3310,00010032,地铁,1号线,向阳路
3310,00010033,地铁,1号线,萧山国际机场
3310,0002,地铁,2号线,
3310,00020001,地铁,2号线,朝阳
3310,00020002,地铁,2号线,曹家桥
3310,00020003,地铁,2号线,潘水
3310,00020004,地铁,2号线,人民路
3310,00020005,地铁,2号线,杭发厂
3310,00020006,地铁,2号线,人民广场
3310,00020007,地铁,2号线,建设一路
3310,00020008,地铁,2号线,建设三路
3310,00020009,地铁,2号线,振宁路
3310,00020010,地铁,2号线,飞虹路
3310,00020011,地铁,2号线,盈丰路
3310,00020012,地铁,2号线,钱江世纪城
3310,00020013,地铁,2号线,钱江路
3310,00020014,地铁,2号线,庆春广场
3310,00020015,地铁,2号线,庆菱路
3310,00020016,地铁,2号线,建国北路
3310,00020017,地铁,2号线,中河北路
3310,00020018,地铁,2号线,凤起路
3310,00020019,地铁,2号线,武林门
3310,00020020,地铁,2号线,沈塘桥
3310,00020021,地铁,2号线,下宁桥
3310,00020022,地铁,2号线,学院路
3310,00020023,地铁,2号线,古翠路
3310,00020024,地铁,2号线,丰潭路
3310,00020025,地铁,2号线,文新
3310,00020026,地铁,2号线,三坝
3310,00020027,地铁,2号线,虾龙圩
3310,00020028,地铁,2号线,三墩
3310,00020029,地铁,2号线,墩祥街
3310,00020030,地铁,2号线,金家渡
3310,00020031,地铁,2号线,白洋
3310,00020032,地铁,2号线,杜甫村
3310,00020033,地铁,2号线,良渚
3310,0003,地铁,3号线,
3310,00030010,地铁,3号线,吴山前村
3310,00030011,地铁,3号线,汤家村
3310,00030012,地铁,3号线,火车西站
3310,00030013,地铁,3号线,龙舟北路
3310,00030014,地铁,3号线,文一西路
3310,00030015,地铁,3号线,绿汀路
3310,00030016,地铁,3号线,创明路
3310,00030017,地铁,3号线,全丰
3310,00030018,地铁,3号线,高教路
3310,00030019,地铁,3号线,联胜路
3310,00030020,地铁,3号线,洪园
3310,00030021,地铁,3号线,西溪湿地南
3310,00030022,地铁,3号线,花坞
3310,00030023,地铁,3号线,东岳
3310,00030024,地铁,3号线,古墩路
3310,00030025,地铁,3号线,古荡新村
3310,00030026,地铁,3号线,古荡
3310,00030027,地铁,3号线,黄龙体育中心
3310,00030028,地铁,3号线,黄龙洞
3310,00030029,地铁,3号线,武林门
3310,00030030,地铁,3号线,武林广场
3310,00030031,地铁,3号线,西湖文化广场
3310,00030032,地铁,3号线,潮王路
3310,00030033,地铁,3号线,香积寺
3310,00030034,地铁,3号线,大关
3310,00030035,地铁,3号线,善贤
3310,00030036,地铁,3号线,新天地街
3310,00030037,地铁,3号线,汽轮广场
3310,00030038,地铁,3号线,华丰路
3310,00030039,地铁,3号线,同协路
3310,00030040,地铁,3号线,桃花湖公园
3310,00030041,地铁,3号线,丁桥
3310,00030042,地铁,3号线,华鹤街
3310,00030043,地铁,3号线,黄鹤山
3310,00030044,地铁,3号线,星桥
3310,00030055,地铁,3号线,石马
3310,00030056,地铁,3号线,小和山
3310,00030057,地铁,3号线,屏峰
3310,00030058,地铁,3号线,留下
3310,0004,地铁,4号线,
3310,00040001,地铁,4号线,浦沿
3310,00040002,地铁,4号线,杨家墩
3310,00040003,地铁,4号线,中医药大学
3310,00040004,地铁,4号线,联庄
3310,00040005,地铁,4号线,水澄桥
3310,00040006,地铁,4号线,复兴路
3310,00040007,地铁,4号线,南星桥
3310,00040008,地铁,4号线,甬江路
3310,00040009,地铁,4号线,近江
3310,00040010,地铁,4号线,城星路
3310,00040011,地铁,4号线,市民中心
3310,00040012,地铁,4号线,江锦路
3310,00040013,地铁,4号线,钱江路
3310,00040014,地铁,4号线,景芳
3310,00040015,地铁,4号线,新塘
3310,00040016,地铁,4号线,新风
3310,00040017,地铁,4号线,火车东站
3310,00040018,地铁,4号线,彭埠
3310,00040019,地铁,4号线,明石路
3310,00040020,地铁,4号线,黎明
3310,00040021,地铁,4号线,笕桥老街
3310,00040022,地铁,4号线,华中南路
3310,00040023,地铁,4号线,新天地街
3310,00040024,地铁,4号线,皋亭坝
3310,00040025,地铁,4号线,桃源街
3310,00040026,地铁,4号线,吴家角港
3310,00040027,地铁,4号线,独城生态公园
3310,00040028,地铁,4号线,平安桥
3310,00040029,地铁,4号线,储运路
