City,Code,Type,Line,Station
3380,0001,地铁,金义东线,
3380,00010011,地铁,金义东线,金华站
3380,00010012,地铁,金义东线,双溪西路
3380,00010013,地铁,金义东线,八一南街
3380,00010014,地铁,金义东线,万达广场
3380,00010015,地铁,金义东线,大堰河街
3380,00010016,地铁,金义东线,轨道大厦
3380,00010017,地铁,金义东线,金华南站
3380,00010018,地铁,金义东线,塘雅
3380,00010019,地铁,金义东线,综保区
3380,00010020,地铁,金义东线,新区
3380,00010021,地铁,金义东线,东华街
3380,00010022,地铁,金义东线,义亭
3380,00010023,地铁,金义东线,官塘
3380,00010024,地铁,金义东线,稠江
3380,00010025,地铁,金义东线,绣湖
3380,00010026,地铁,金义东线,凌云
3380,00010027,地铁,金义东线,春晗
3380,00010028,地铁,金义东线,秦塘
3380,00010029,地铁,金义东线,国际商贸城
3380,00010030,地铁,金义东线,浙医四院
3380,00010031,地铁,金义东线,江东
3380,00010032,地铁,金义东线,木雕城
3380,00010033,地铁,金义东线,歌山路
3380,00010034,地铁,金义东线,人民路
3380,00010035,地铁,金义东线,会展中心
3380,00010036,地铁,金义东线,体育馆
3380,00010037,地铁,金义东线,明清宫
